Molecule,SMILES,zbtb11_3nM,zbtb11_10nM,zbtb11_30nM,zbtb11_100nM,zbtb11_300nM,zbtb11_1uM,zbtb11_3uM,zbtb11_10uM,zbtb11_30uM,zbtb11_100uM,ikzf1_3nM,ikzf1_10nM,ikzf1_30nM,ikzf1_100nM,ikzf1_300nM,ikzf1_1uM,ikzf1_3uM,ikzf1_10uM,ikzf1_30uM,ikzf1_100uM,Pred_zbtb11_3nM,Pred_zbtb11_10nM,Pred_zbtb11_30nM,Pred_zbtb11_100nM,Pred_zbtb11_300nM,Pred_zbtb11_1uM,Pred_zbtb11_3uM,Pred_zbtb11_10uM,Pred_zbtb11_30uM,Pred_zbtb11_100uM,Pred_ikzf1_3nM,Pred_ikzf1_10nM,Pred_ikzf1_30nM,Pred_ikzf1_100nM,Pred_ikzf1_300nM,Pred_ikzf1_1uM,Pred_ikzf1_3uM,Pred_ikzf1_10uM,Pred_ikzf1_30uM,Pred_ikzf1_100uM,Pred_ZBTB11_AUC,Pred_IKZF1_AUC,True_ZBTB11_AUC,True_IKZF1_AUC,Pred_ZBTB11_Selectivity,True_ZBTB11_Selectivity
JWJ-01-563,O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.01665989,97.07457683,74.81192248,57.02633085,48.14375664,41.87791316,42.00057241,42.55253905,41.7348107,37.94259547,38.16747077,99.32684754612882,98.49202894391797,97.96783947470946,96.0684926772551,94.63874595079818,93.359281008098,91.23607590026788,91.93255817983214,100.19730559360184,98.23332406891447,95.64553714270359,91.45204367932334,93.905626841027,91.0719711975175,88.68998338229562,87.63371626901514,85.67802091390152,82.27778319679555,81.87484443964252,78.78244257994716,433.59617118996124,396.89433654934095,450.72359384338256,228.40281645911585,-36.70183464062029,-222.3207773842667
JWJ-01-557,O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,99.4514425,95.48963836,94.01665989,91.07070297,90.30881755,96.91182446,79.12543953,60.30746586,38.42301088,26.31040968,25.87088069,23.66301415,24.42963448,21.18938589,23.57101971,20.93384578,99.32362698938898,98.3322377158374,97.47066179699318,95.16010116531646,93.46683376027815,92.01965437436897,90.91639781680388,95.16728277247823,96.08561588100179,94.2741084145871,96.23547972811019,91.6831268825856,93.4289961276991,87.63154815570067,81.7028429819268,78.86785401633985,76.4176463895935,76.18182740212893,75.73773624591323,69.29940358346292,429.9234631301119,374.1031251439851,436.6491344872534,148.04184744827003,-55.82033798612679,-288.6072870389834
JWJ-01-571,O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,100.0,100.0,100.0,99.7625659,100.0,100.0,99.03819067,88.73596523,93.00173045,84.3494708,96.34119006,95.11698881,97.96196355,87.6510854,76.73672776,55.14940428,44.77817818,36.88121799,33.21723537,29.98430953,99.2832969909284,98.15564851337112,97.09469797432648,94.19625070637983,92.34890612214663,91.03830610324106,89.68658720727372,90.24420709871829,87.65547590207643,80.91300592821662,94.699137907661,89.3841822489691,89.5393668045526,84.85724758796437,74.07909953229581,63.20580165181883,56.28068088271665,48.18438197714081,47.60249981329837,43.817305558103016,417.32044820102584,312.780282329415,438.4654361174991,296.7728600312655,-104.54016587161084,-141.6925760862336
JWJ-01-323,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,100.0,100.0,100.0,100.0,100.0,97.76133442,96.88342635,74.81030915,36.24506177,97.74898374,99.10060976,100.0,100.0,98.85670732,95.16260163,94.79674797,89.3445122,82.61686992,60.68089431,98.96926694895032,98.48654457312817,96.39076447284704,94.68838443662257,92.55407841126609,90.97432854797665,89.01770616080334,99.12282296714696,87.55103366757524,72.70311588854797,96.94369189686334,92.58144772039249,88.8401410161556,79.88201796243466,72.20616143473023,64.85436467193452,59.050388179471426,53.63817617926389,43.316718462877475,37.39749395180445,419.27475168736146,312.3067831616421,420.3473584344698,421.3588323248504,-106.96796852571936,1.0114738903806142
JWJ-01-322,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,98.32570389,96.00551828,98.70195021,100.0,98.63924249,100.0,94.62594845,88.16705336,64.71436634,31.85552141,100.0,100.0,100.0,100.0,98.16056911,92.77947154,96.56504065,86.2754065,70.42682927,33.53150407,98.7461276415442,98.22535535251646,95.79760985428236,93.50144468822478,90.6808872233277,88.6428288294275,85.19809250170053,84.38957702625298,75.64404766678882,63.50617079748302,96.35455548177497,91.68449082247903,82.46889808280977,71.37853002029298,62.02136752686601,56.28883127367179,50.20298001486755,46.86803032426338,40.27078229137474,35.883978569645976,398.4590606845852,285.1643145595717,404.46153743696044,407.01405118675893,-113.29474612501349,2.552513749798493
JWJ-01-591,O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,96.18093283,100.0,100.0,93.08221659,96.34190511,100.0,97.26749567,91.02982011,89.58106966,84.91287376,99.28099729,99.05684777,100.0,93.4186251,96.09117713,81.48697346,65.624084,39.03650189,17.98368881,12.57823681,98.76866989331643,96.99446746151149,95.61889625239397,91.73686859966125,89.71790660096988,88.11491544018445,85.96457302963897,85.81472133039674,81.04203856683246,73.55191496899681,92.57431127576841,85.49294685329359,69.42623366911498,60.751791469995865,56.14795288215362,51.17577290938635,48.77133041256018,45.6982649880852,44.73317276278047,42.131714656666844,402.5535792401847,266.3161918843113,430.9963047539096,325.5933570671138,-136.2373873558734,-105.40294768679581
JWJ-01-318,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,97.44779582,100.0,98.63924249,96.88342635,100.0,90.29911582,85.47062143,54.61842353,35.49256914,94.54268293,94.67479675,89.20223577,77.01727642,68.94308943,66.8597561,64.81707317,61.54471545,58.31300813,55.54878049,98.7889684344399,97.94704615200216,95.34750757665944,92.4906607871158,89.36344734663594,86.652367775254,83.92844205671689,80.03563003701223,72.41230334940175,62.65002086278308,96.00238829826348,90.80369189818728,75.81107463155779,61.567289448650335,51.88472130052368,45.19576048790895,39.65173293094082,38.83040010684126,37.69796481571976,33.46735430803552,391.295210621928,254.56980609303986,397.1024049933663,329.9257936451696,-136.72540452888813,-67.17661134819667
JWJ-01-324,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,99.642566,100.0,97.76133442,96.69530319,99.51715056,98.57653477,91.92951652,90.61265442,72.86636985,39.44315545,93.81605691,88.55182927,84.79166667,77.08841463,68.62804878,60.18292683,58.52642276,57.23577236,54.11585366,60.39634146,98.734285155623,97.98157847052708,95.33959102156565,92.8222161395466,90.1118460259928,87.67428493966882,85.19646013204674,88.2268779927876,79.84693758197645,68.1086251488774,95.71790140456434,90.6879216871957,77.85838204718632,64.69452160448407,53.949384151597684,44.80507360249847,40.255879868477294,38.09774859954044,35.141274039558155,31.463391362358045,402.2192019515244,255.99529019281889,410.3419156240933,314.8776601631886,-146.2239117587055,-95.46425546090472
