SMILES,Dataset,ZBTB11_pDC50,ZBTB11_Dmax,IKZF1_pDC50,IKZF1_Dmax,
CC(NCCC1=CC=CC(C(F)(F)F)=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,Train,,65.56,7.22184875,74.05,ALV-alkyl
CC(NCCC1=CC=C(C(F)(F)F)C=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,Train,5.428291168,56.95,6.886056648,75.14,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,Train,6.657577319,77.85,7.698970004,84.46,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,Train,6.698970004,60.31,7.397940009,82.8,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C(C)=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,Train,,50.33,4.587707491,53.24,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,Train,5.698970004,39.37,6.259637311,72.7,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C(C)=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,Train,4.907279355,40.19,4.667157733,39.69,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CC)NCCC4=CC(C(F)(F)F)=C(Cl)C=C4)=CC=C3,Train,6.366531544,51.24,6.494850022,70.49,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=CC=C4)CC)=CC=C3,Train,,28.26,6.408935393,63.14,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=C(Cl)C(C(F)(F)F)=C4)CC)=CC=C3,Train,5.151195299,24.11,5.774690718,45.21,ALV-alkyl
