Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
ZBTB11_pDC50,8,1.0,0.791,-0.034,0.252
ZBTB11_Dmax,11,21.844,19.127,-1.223,-0.584
IKZF1_pDC50,9,1.725,1.461,-1.639,-0.772
IKZF1_Dmax,11,31.758,28.455,-0.681,-0.584
