Endpoint,N_Valid,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.207,1.028,0.12,0.516
zbtb11_10nM,8,1.905,1.785,-0.697,-0.05
zbtb11_30nM,8,3.3,3.179,-15.975,0.503
zbtb11_100nM,8,4.936,4.689,-3.51,0.77
zbtb11_300nM,8,7.338,7.244,-27.762,0.758
zbtb11_1uM,8,9.907,9.449,-42.698,-0.261
zbtb11_3uM,8,8.313,7.974,-5.609,0.7
zbtb11_10uM,8,4.553,4.091,-0.053,0.714
zbtb11_30uM,8,9.887,8.538,0.546,0.848
zbtb11_100uM,8,22.516,18.198,0.329,0.866
ikzf1_3nM,8,6.728,4.338,-0.168,-0.272
ikzf1_10nM,8,14.183,11.019,-0.135,-0.312
ikzf1_30nM,8,27.502,22.487,-0.595,-0.581
ikzf1_100nM,8,32.199,27.037,-0.714,-0.536
ikzf1_300nM,8,34.34,29.971,-0.863,-0.568
ikzf1_1uM,8,33.67,30.381,-1.102,-0.557
ikzf1_3uM,8,34.229,31.127,-1.136,-0.507
ikzf1_10uM,8,32.692,28.808,-1.084,-0.448
ikzf1_30uM,8,33.19,30.785,-1.409,-0.498
ikzf1_100uM,8,29.423,26.127,-1.962,-0.432
