Compound_ID,SMILES,Seed,ipTM_ikzf1,pTM_ikzf1,pLDDT_ikzf1,Ranking_Score_ikzf1,Early_Stopped_ikzf1,Min_Dist_Angstrom_ikzf1,Dist_Status_ikzf1,Flagged_Greater_Than_10A_ikzf1,Fraction_Success_Under_10A_ikzf1,OpenMM_Minimized_Energy_kJ_mol,OpenMM_Minimized_Energy_kJ_mol_ikzf1
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,43,0.7222785949707031,0.8351221084594727,0.8571,0.7448,False,2.8854506,Success,False,1.0,,-19563.128051042557
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,44,0.741797924041748,0.8494234085083008,0.8593,0.7633,False,3.0133338,Success,False,1.0,,-19063.511053711176
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,45,0.7544713616371155,0.8452274203300476,0.8593,0.7726,False,3.1476119,Success,False,1.0,,-20000.399369478226
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,46,0.7271759510040283,0.8501361608505249,0.8586,0.7518,False,2.9121687,Success,False,1.0,,-20229.226127415895
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,47,0.7447107434272766,0.836895227432251,0.857,0.7631,False,3.2311158,Success,False,1.0,,-19999.15974342823
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,48,0.7207632660865784,0.8400055766105652,0.8579,0.7446,False,2.980236,Success,False,1.0,,-19883.63705909252
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,49,0.7242379188537598,0.8384716510772705,0.8576,0.7471,False,3.061689,Success,False,1.0,,-20480.484202951193
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,50,0.7327932119369507,0.8378311991691589,0.8569,0.7538,False,3.194978,Success,False,1.0,,-19971.19966685772
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,51,0.7480628490447998,0.8415412902832031,0.8584,0.7668,False,3.2902694,Success,False,1.0,,-19490.64934170246
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.7345461249351501,0.8398100733757019,0.8571,0.7556,False,2.90356,Success,False,1.0,,-20643.658344626427
