SMILES,Pred_ZBTB11_pDC50,Pred_ZBTB11_Dmax,Pred_IKZF1_pDC50,Pred_IKZF1_Dmax,ZBTB11_Efficiency,IKZF1_Efficiency,Selectivity_Score
O=C1CCC(N2C(C(C=CC(NC(N3CC(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.538349,5.7924347,5.7570543,20.721462,0.32080525,1.1929458,-0.8721406
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,5.562185,7.206175,5.8302073,23.035908,0.40082076,1.3430412,-0.94222045
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,5.7614174,16.610928,6.354346,39.162186,0.9570249,2.4885006,-1.5314758
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,5.900938,24.59216,6.751445,51.906452,1.4511681,3.5044355,-2.0532675
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC(Cl)=C5C(F)(F)F)CC4)=C3,5.7620225,39.171677,6.997426,64.99924,2.2570808,4.5482736,-2.2911928
ClC1=CC(CN2CCC(C3=CC(NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)=CC=C3)CC2)=CC=C1C(F)(F)F,5.789476,38.163136,7.012929,64.61188,2.2094455,4.531185,-2.3217397
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,5.7814918,38.576366,7.013652,64.941864,2.2302895,4.554796,-2.3245068
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,5.7814918,38.576366,7.013652,64.941864,2.2302895,4.554796,-2.3245068
