Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
ZBTB11_pDC50,6,1.106,0.981,-2.79,0.636
ZBTB11_Dmax,8,11.429,9.731,0.102,0.638
IKZF1_pDC50,7,1.192,1.024,-0.597,-0.07
IKZF1_Dmax,8,21.696,19.18,-2.034,0.059
