SMILES,zbtb11_3nM,zbtb11_10nM,zbtb11_30nM,zbtb11_100nM,zbtb11_300nM,zbtb11_1uM,zbtb11_3uM,zbtb11_10uM,zbtb11_30uM,zbtb11_100uM,ikzf1_3nM,ikzf1_10nM,ikzf1_30nM,ikzf1_100nM,ikzf1_300nM,ikzf1_1uM,ikzf1_3uM,ikzf1_10uM,ikzf1_30uM,ikzf1_100uM,Pred_zbtb11_3nM,Pred_zbtb11_10nM,Pred_zbtb11_30nM,Pred_zbtb11_100nM,Pred_zbtb11_300nM,Pred_zbtb11_1uM,Pred_zbtb11_3uM,Pred_zbtb11_10uM,Pred_zbtb11_30uM,Pred_zbtb11_100uM,Pred_ikzf1_3nM,Pred_ikzf1_10nM,Pred_ikzf1_30nM,Pred_ikzf1_100nM,Pred_ikzf1_300nM,Pred_ikzf1_1uM,Pred_ikzf1_3uM,Pred_ikzf1_10uM,Pred_ikzf1_30uM,Pred_ikzf1_100uM,Pred_ZBTB11_AUC,Pred_IKZF1_AUC,True_ZBTB11_AUC,True_IKZF1_AUC,Pred_ZBTB11_Selectivity,True_ZBTB11_Selectivity
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.01665989,97.07457683,74.81192248,57.02633085,48.14375664,41.87791316,42.00057241,42.55253905,41.7348107,37.94259547,38.16747077,99.3109020094851,98.50212140238699,97.9731044470671,96.05462537276584,94.64644965440854,93.28520463112002,91.14366160321615,92.02898972044405,100.45633468712926,97.98127172114587,95.77858622998863,91.61144287133453,94.671658268019,91.65619602078473,89.24101054722829,88.35425955267935,86.44273512752221,83.30097271933766,82.76408043817148,78.90533331221096,433.62518788622026,399.69043210797696,450.72359384338256,228.40281645911585,-33.9347557782433,-222.3207773842667
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,99.4514425,95.48963836,94.01665989,91.07070297,90.30881755,96.91182446,79.12543953,60.30746586,38.42301088,26.31040968,25.87088069,23.66301415,24.42963448,21.18938589,23.57101971,20.93384578,99.29058729424477,98.24277848898956,97.36633711593853,94.97276023237826,93.25268773089968,91.77806728166907,90.68523313826644,94.46989211700853,95.6689671190691,93.82142125012115,96.09742544535658,91.37618270592806,92.52757883286964,86.655596261645,80.73158816603649,77.9890658180114,75.52660995504769,75.3263346752793,74.86183361056942,68.3065138912581,428.7054439752315,370.4790577724304,436.6491344872534,148.04184744827003,-58.22638620280111,-288.6072870389834
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,100.0,100.0,100.0,99.7625659,100.0,100.0,99.03819067,88.73596523,93.00173045,84.3494708,96.34119006,95.11698881,97.96196355,87.6510854,76.73672776,55.14940428,44.77817818,36.88121799,33.21723537,29.98430953,99.24294330285935,98.03642637986488,96.95026015438445,93.93113753338787,92.05415070142227,90.71529294577246,89.37332844431243,89.03203183416551,86.92011450162472,80.31964222694108,94.49008999869648,88.93686394544737,88.09814137086711,83.17123147657793,72.3232080057799,61.514562457367184,54.54399643737421,46.451524883336475,45.90171204158136,42.08813661735361,415.45110095802494,306.1775461919727,438.4654361174991,296.7728600312655,-109.27355476605226,-141.6925760862336
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,100.0,100.0,100.0,100.0,100.0,97.76133442,96.88342635,74.81030915,36.24506177,97.74898374,99.10060976,100.0,100.0,98.85670732,95.16260163,94.79674797,89.3445122,82.61686992,60.68089431,98.96595698257958,98.31923001804606,96.11769187248045,94.07445833948755,91.66103811412141,89.97986807819744,87.78462530902769,94.4121686615884,83.51523431173928,69.3319280716222,96.67981764358191,92.17573088893293,86.96780907990005,77.05467801236156,69.1415821059663,61.812635379188535,56.09761532376625,50.56812401671909,40.44001415469164,36.06695467332712,411.9318508375819,301.8343273553032,420.3473584344698,421.3588323248504,-110.09752348227875,1.0114738903806142
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,98.32570389,96.00551828,98.70195021,100.0,98.63924249,100.0,94.62594845,88.16705336,64.71436634,31.85552141,100.0,100.0,100.0,100.0,98.16056911,92.77947154,96.56504065,86.2754065,70.42682927,33.53150407,98.74116734612517,98.0856417512605,95.5716457290381,92.99561993698286,89.96341113691909,87.84570498164223,84.21688262324346,79.98443492237746,71.92030777275788,60.48743849307886,96.12223296872568,91.31341637559288,80.70423509082391,68.65479921700424,59.03548997676198,53.29113797008978,47.268916316506605,43.803371780985,37.40996141164743,34.462797740198006,391.92045124408094,274.8807325744441,404.46153743696044,407.01405118675893,-117.03971866963684,2.552513749798493
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,96.18093283,100.0,100.0,93.08221659,96.34190511,100.0,97.26749567,91.02982011,89.58106966,84.91287376,99.28099729,99.05684777,100.0,93.4186251,96.09117713,81.48697346,65.624084,39.03650189,17.98368881,12.57823681,98.68548241950447,96.82588179957722,95.40284504171154,91.27139773564123,89.22493990113612,87.42614337305184,85.21224293975759,82.73806498300715,79.26663595475208,71.35395812564207,92.50740779265408,85.1394129224719,68.7346443191216,58.90808943215377,54.03498521929527,49.450637535994225,47.099268077826835,44.42729711530682,43.31634234308966,39.75977494956288,398.13908052452575,260.1351877596378,430.9963047539096,325.5933570671138,-138.00389276488795,-105.40294768679581
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,97.44779582,100.0,98.63924249,96.88342635,100.0,90.29911582,85.47062143,54.61842353,35.49256914,94.54268293,94.67479675,89.20223577,77.01727642,68.94308943,66.8597561,64.81707317,61.54471545,58.31300813,55.54878049,98.77660346226416,97.89044911388409,95.26876575675139,92.32375544024947,89.16522132886811,86.42835819763683,83.67557095418194,79.11047050941113,71.72727384178394,62.22357509081703,95.90390167374397,90.60686101931243,75.18835404147067,60.70120912687735,50.94754415897557,44.2341144779036,38.670946510598476,37.8164237123996,36.753903094464675,32.781232121171655,389.88671824725617,251.10303871846008,397.1024049933663,329.9257936451696,-138.78367952879609,-67.17661134819667
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,99.642566,100.0,97.76133442,96.69530319,99.51715056,98.57653477,91.92951652,90.61265442,72.86636985,39.44315545,93.81605691,88.55182927,84.79166667,77.08841463,68.62804878,60.18292683,58.52642276,57.23577236,54.11585366,60.39634146,98.71392691158152,97.89178326102169,95.20962942598754,92.53713046060744,89.75579909268787,87.25256573092466,84.70522980274752,86.45412933302971,78.53919072046219,67.05335623651759,95.59964440787878,90.44020154402071,77.08111804105732,63.42085628559853,52.534245928291384,43.41188286699977,38.86384150448308,36.70404612029405,33.81468483478716,30.429698213148445,399.51082342423854,251.08447083186024,410.3419156240933,314.8776601631886,-148.4263525923783,-95.46425546090472
