SMILES,zbtb11_3nM,zbtb11_10nM,zbtb11_30nM,zbtb11_100nM,zbtb11_300nM,zbtb11_1uM,zbtb11_3uM,zbtb11_10uM,zbtb11_30uM,zbtb11_100uM,ikzf1_3nM,ikzf1_10nM,ikzf1_30nM,ikzf1_100nM,ikzf1_300nM,ikzf1_1uM,ikzf1_3uM,ikzf1_10uM,ikzf1_30uM,ikzf1_100uM,Pred_zbtb11_3nM,Pred_zbtb11_10nM,Pred_zbtb11_30nM,Pred_zbtb11_100nM,Pred_zbtb11_300nM,Pred_zbtb11_1uM,Pred_zbtb11_3uM,Pred_zbtb11_10uM,Pred_zbtb11_30uM,Pred_zbtb11_100uM,Pred_ikzf1_3nM,Pred_ikzf1_10nM,Pred_ikzf1_30nM,Pred_ikzf1_100nM,Pred_ikzf1_300nM,Pred_ikzf1_1uM,Pred_ikzf1_3uM,Pred_ikzf1_10uM,Pred_ikzf1_30uM,Pred_ikzf1_100uM,Pred_ZBTB11_AUC,Pred_IKZF1_AUC,True_ZBTB11_AUC,True_IKZF1_AUC,Pred_ZBTB11_Selectivity,True_ZBTB11_Selectivity
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.01665989,97.07457683,74.81192248,57.02633085,48.14375664,41.87791316,42.00057241,42.55253905,41.7348107,37.94259547,38.16747077,99.64923,100.28935,100.71033,101.52784,101.66392,102.49913,101.580826,97.89852,98.59823,93.233536,99.057144,100.25471,101.78607,100.021996,99.55185,95.16731,92.693085,87.61972,84.09721,78.36931,452.81121688617594,426.9822422395657,450.72359384338256,228.40281645911585,-25.82897464661022,-222.3207773842667
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,99.4514425,95.48963836,94.01665989,91.07070297,90.30881755,96.91182446,79.12543953,60.30746586,38.42301088,26.31040968,25.87088069,23.66301415,24.42963448,21.18938589,23.57101971,20.93384578,99.4999,99.82105,99.85301,100.09591,99.69689,99.84859,98.705734,94.38762,93.326004,87.67101,98.47204,98.708176,97.923325,94.36759,92.48913,87.47628,85.04068,80.13411,76.69353,71.429405,441.8012470271899,400.8353351587155,436.6491344872534,148.04184744827003,-40.96591186847439,-288.6072870389834
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,100.0,100.0,100.0,100.0,100.0,97.76133442,96.88342635,74.81030915,36.24506177,97.74898374,99.10060976,100.0,100.0,98.85670732,95.16260163,94.79674797,89.3445122,82.61686992,60.68089431,99.25883,99.0901,98.47994,97.91373,96.64112,95.65777,94.08067,88.56208,84.419136,78.210365,97.58105,96.370285,91.760925,85.14641,80.75285,74.63984,72.28479,67.58698,64.23513,59.59555,423.8197104182997,357.4807542794585,420.3473584344698,421.3588323248504,-66.33895613884118,1.0114738903806142
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,98.32570389,96.00551828,98.70195021,100.0,98.63924249,100.0,94.62594845,88.16705336,64.71436634,31.85552141,100.0,100.0,100.0,100.0,98.16056911,92.77947154,96.56504065,86.2754065,70.42682927,33.53150407,99.24426,99.04849,98.399445,97.79182,96.46324,95.40933,93.8003,88.19851,83.84816,77.5996,97.53016,96.23993,91.39625,84.58408,80.01697,73.8343,71.47624,66.801445,63.44692,58.834435,422.7135917554631,354.7779208997266,404.46153743696044,407.01405118675893,-67.93567085573648,2.552513749798493
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,100.0,100.0,100.0,99.7625659,100.0,100.0,99.03819067,88.73596523,93.00173045,84.3494708,96.34119006,95.11698881,97.96196355,87.6510854,76.73672776,55.14940428,44.77817818,36.88121799,33.21723537,29.98430953,99.21118,98.95826,98.22416,97.55938,96.12071,94.953156,93.16789,87.31057,82.37459,75.96077,97.416534,95.981255,90.50178,83.24272,78.134,71.84233,69.389694,64.82376,61.412148,56.851574,420.1311956363807,347.9956055242866,438.4654361174991,296.7728600312655,-72.13559011209412,-141.6925760862336
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,99.642566,100.0,97.76133442,96.69530319,99.51715056,98.57653477,91.92951652,90.61265442,72.86636985,39.44315545,93.81605691,88.55182927,84.79166667,77.08841463,68.62804878,60.18292683,58.52642276,57.23577236,54.11585366,60.39634146,99.02061,98.377464,97.122955,95.5193,93.29636,91.39058,89.20786,82.50919,75.24553,68.36946,96.626915,93.913574,85.345505,75.81766,68.56303,61.95682,59.11789,55.11176,51.960503,48.15827,405.0969812679478,313.74591633799025,410.3419156240933,314.8776601631886,-91.35106492995754,-95.46425546090472
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,97.44779582,100.0,98.63924249,96.88342635,100.0,90.29911582,85.47062143,54.61842353,35.49256914,94.54268293,94.67479675,89.20223577,77.01727642,68.94308943,66.8597561,64.81707317,61.54471545,58.31300813,55.54878049,99.01267,98.35363,97.07946,95.42787,93.17271,91.24794,89.04575,82.33171,74.993774,68.103294,96.59196,93.813896,85.1335,75.523155,68.20859,61.595825,58.760582,54.768906,51.634018,47.864655,404.5171247919443,312.48587839106324,397.1024049933663,329.9257936451696,-92.03124640088106,-67.17661134819667
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,96.18093283,100.0,100.0,93.08221659,96.34190511,100.0,97.26749567,91.02982011,89.58106966,84.91287376,99.28099729,99.05684777,100.0,93.4186251,96.09117713,81.48697346,65.624084,39.03650189,17.98368881,12.57823681,98.39532,96.04277,92.64419,86.299484,81.7403,78.28548,74.79877,68.78806,60.567154,53.763287,92.21336,82.544525,66.57662,53.102837,44.147163,37.416466,34.99233,33.179173,31.878006,31.44447,359.36335189289025,224.24758815569004,430.9963047539096,325.5933570671138,-135.1157637372002,-105.40294768679581
