SMILES,zbtb11_100uM,zbtb11_30uM,zbtb11_10uM,zbtb11_3uM,zbtb11_1uM,zbtb11_300nM,zbtb11_100nM,zbtb11_30nM,zbtb11_10nM,zbtb11_3nM,ikzf1_100uM,ikzf1_30uM,ikzf1_10uM,ikzf1_3uM,ikzf1_1uM,ikzf1_300nM,ikzf1_100nM,ikzf1_30nM,ikzf1_10nM,ikzf1_3nM,True_ZBTB11_AUC,True_IKZF1_AUC,SupCon_Class
ClC1=C(C(F)(F)F)C=C(CN2CCCC(C3=CC=C(C=C3)NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)C2)C=C1,66.15363379,84.78846021,86.37587135,86.30685348,94.03685555,93.76078404,98.66105321,98.45399959,95.90033819,98.66105321,59.0608732,68.6818514,78.93677004,81.56202921,79.3544249,85.09717934,93.68893662,92.62988321,100.0,97.58207664,412.2311561811658,380.928171894675,2
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,35.49256914,54.61842353,85.47062143,90.29911582,100.0,96.88342635,98.63924249,100.0,97.44779582,100.0,55.54878049,58.31300813,61.54471545,64.81707317,66.8597561,68.94308943,77.01727642,89.20223577,94.67479675,94.54268293,397.1024049933663,329.9257936451696,3
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,31.85552141,64.71436634,88.16705336,94.62594845,100.0,98.63924249,100.0,98.70195021,96.00551828,98.32570389,33.53150407,70.42682927,86.2754065,96.56504065,92.77947154,98.16056911,100.0,100.0,100.0,100.0,404.4615374369605,407.01405118675893,0
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,36.24506177,74.81030915,96.88342635,97.76133442,100.0,100.0,100.0,100.0,100.0,100.0,60.68089431,82.61686992,89.3445122,94.79674797,95.16260163,98.85670732,100.0,100.0,99.10060976,97.74898374,420.34735843446987,421.3588323248505,0
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,39.44315545,72.86636985,90.61265442,91.92951652,98.57653477,99.51715056,96.69530319,97.76133442,100.0,99.642566,60.39634146,54.11585366,57.23577236,58.52642276,60.18292683,68.62804878,77.08841463,84.79166667,88.55182927,93.81605691,410.3419156240933,314.87766016318864,2
O=C(N(C1=O)C2CCC(N(C)C2=O)=O)C=C1NC3=CC=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=C3,60.15299026,81.53685675,95.27121001,100.0,100.0,95.44506259,100.0,100.0,100.0,100.0,92.38328274,98.52255398,98.87561111,97.79682543,98.51274683,99.22866824,98.11065399,98.16949684,98.37544684,98.99329682,427.9968619750215,443.82937452818777,0
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=CC=C5)=CC=C3,49.89568846,81.1891516,90.57719054,96.48817803,100.0,96.31432545,96.48817803,100.0,100.0,100.0,13.0238853,12.20008532,13.16118529,14.10267098,21.85031358,36.8846631,51.67383405,72.00404054,97.88508971,98.49313255,419.7171465774486,189.0358804704065,2
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC(C=C3)=CC=C3C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5,38.59527121,49.72183588,91.09874826,99.26981919,95.79276773,100.0,97.35744089,100.0,100.0,99.26981919,,,,,,,,,,,402.66366871815615,,0
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC=C(Cl)C=C5)=CC=C3,43.63699583,64.49930459,80.31988873,80.49374131,84.14464534,92.83727399,96.14047288,95.27121001,95.96662031,97.18358832,,,,,,,,,,,381.65262375499805,,0
CSC1=CC=C(C2(CCCC2)NC(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)C=C1,38.11018552,48.29168176,50.46480744,48.41241096,49.90140448,54.931788,57.5878305,65.67668719,77.34717695,94.28950863,15.99214421,15.40095592,14.2085592,15.7416407,17.46510486,18.64748144,21.2126374,28.42713855,46.77401577,73.35744847,260.92138661632623,112.2982683759138,3
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(NC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,100.0,97.75207537,98.35836209,98.40499953,96.58613935,98.8247365,100.0,100.0,100.0,100.0,75.80385956,75.74784898,71.59444892,72.97317093,75.47210458,79.30236666,84.48119122,92.34852369,93.86942641,93.95990504,447.25103094803376,367.27747280905726,2
O=C(C(CC1)N2C(C(NC3=CC(C4(CCC4)N(C)CCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3)=CC2=O)=O)NC1=O,43.45001218,42.80029237,54.251604,65.21562576,67.89571997,78.69731178,81.21497604,89.01161374,88.28067896,100.0,19.23803635,17.52894294,18.44790271,21.56549521,29.81036793,44.6253736,62.36902676,84.14064379,94.7387406,100.0,321.18739249956377,217.78676418818964,3
O=C1CCC(N2C(C(C=CC(C(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,98.17181233,100.0,95.79330286,97.65880049,96.865964,95.97985263,99.85076019,97.89198769,100.0,96.58613935,85.61432837,86.31230639,81.00853515,80.62507809,80.77156731,87.25156076,88.41916596,88.38900642,90.90948259,90.93102512,442.9377306339035,387.99925779396244,2
O=C1CCC(N2C(C(C=CC(NC(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.54724373,100.0,98.87137394,99.47766067,97.79871281,100.0,100.0,100.0,100.0,100.0,56.14845389,60.12089669,61.5685548,76.81205003,86.27352983,92.10724734,94.98963804,95.22229738,100.0,100.0,443.4459562342017,374.3704608787339,2
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.59388117,92.80850667,98.8247365,98.8247365,100.0,99.80412275,100.0,100.0,100.0,100.0,31.85278696,33.20565793,32.96007307,36.4068781,41.12038397,48.69042951,56.06228377,70.73705617,88.83278256,92.6975127,440.51532659725683,236.57012474525544,2
O=C1CCC(N2C(C(C=CC(NC(N(C)CC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,83.34110624,83.71420576,87.67838821,91.54929577,94.90719149,95.6067531,95.18701614,100.0,98.96464882,99.43102323,83.37821361,83.29204348,82.94736298,88.66475082,88.5139531,93.48166084,88.01416637,88.28129376,93.86942641,95.93750942,421.5875805097445,400.41251901348147,0
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(N(C)CC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,85.54083885,97.68211921,97.08425313,99.84363503,100.0,100.0,100.0,100.0,100.0,100.0,96.98769378,99.61532759,99.64827598,99.60297194,99.77183242,99.50412679,99.42175582,99.5988534,99.65239452,99.4711784,445.8126841930747,449.76985352233424,0
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.95143488,71.14606328,69.95033113,73.67549669,75.42310522,78.7343635,83.28734364,91.84142752,96.25643856,100.0,23.83403898,26.89412036,27.70547437,28.66097758,29.20462595,31.638688,38.74730235,49.80560452,68.38849442,82.89814006,365.6350387748844,178.4266377037358,2
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,74.18138337,66.96100074,71.14606328,69.85835173,79.60816777,80.06806475,80.11405445,93.22111847,95.38263429,99.98160412,21.77888338,21.67180112,22.53257772,23.72283817,24.32002768,25.3620204,30.22190738,38.67728703,57.54435677,76.95095633,363.71278992652316,147.83827548964683,2
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,100.0,95.70456218,100.0,96.80831494,100.0,98.69389257,99.47571744,98.87785136,100.0,100.0,49.74794484,57.37137774,68.21139685,80.60822721,99.58649775,99.60709049,100.0,99.42999292,99.30231792,99.73476549,447.06804377303376,391.1391164492273,2
O=C1CCC(N2C(C(C=CC(CN(C)C(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,96.25643856,98.60191317,95.1986755,97.68211921,100.0,99.52170714,96.07247976,96.34841795,96.07247976,98.60191317,45.07339253,48.52885455,57.7090987,70.82255647,93.12861403,99.66886872,99.66886872,99.3517405,99.75947678,99.31467356,440.6925414749885,372.0677646502968,2
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C)=O)C=C2CN1C4CCC(NC4=O)=O,99.56503605,99.08836322,99.50545195,100.0,99.44586784,100.0,100.0,100.0,100.0,100.0,76.62078201,78.00390788,77.99293069,81.8129926,83.69009199,87.88337834,91.63757711,97.17008057,100.0,100.0,451.1939993308247,395.2711060339104,2
O=C1CCC(N2C(C(C=CC(NC(N(CC3)CCC3C4=CC=CC(OC)=C4)=O)=C5)=C5C2)=O)C(N1)=O,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.97527937,73.41544271,75.21570177,80.37498079,79.41996531,94.00865003,97.65307691,100.0,100.0,100.0,452.28787452803374,395.5278966533909,2
O=C1CCC(N2C(C(C=CC(NC(N3CC(C4=CC=C(OC)C=C4)CC3)=O)=C5)=C5C2)=O)C(N1)=O,91.69993446,95.87082166,95.69206936,95.75165346,100.0,100.0,100.0,100.0,100.0,100.0,73.23980768,86.51122966,86.8844541,98.7947046,96.78587894,100.0,100.0,100.0,100.0,100.0,443.7751828403839,429.7798402861627,0
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,72.335101,90.15074778,95.09622833,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.68038815,56.98259018,70.26498935,73.65694088,77.20257305,84.03038486,94.90877956,100.0,99.78265165,100.0,437.6786687443201,365.4552865583516,2
O=C1C2=CC=C(NC(N(CCC3=CC=C(SC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,91.34242984,92.17660728,93.78537806,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.03791521,83.73400075,87.74067488,93.28415552,94.73314453,93.64640278,100.0,100.0,100.0,100.0,443.00543748681514,422.85387071602577,0
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,96.91182446,90.30881755,91.07070297,94.01665989,95.48963836,99.4514425,100.0,100.0,100.0,100.0,20.93384578,23.57101971,21.18938589,24.42963448,23.66301415,25.87088069,26.31040968,38.42301088,60.30746586,79.12543953,436.6491344872534,148.04184744827003,2
O=C1C2=CC=C(NC(N(CCC3=CC=C(OC)C=C3)CC)=O)C=C2CN1C4CCC(NC4=O)=O,90.41040228,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.17483032,90.2567667,90.47142039,93.12903753,97.41188977,100.0,100.0,100.0,100.0,100.0,449.78077611624536,432.2164730541294,0
O=C1CCC(N2C(C(C=CC(NC(N3CC(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,86.65176757,95.08329947,96.40390085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.29732603,72.38940224,74.43372312,86.5258811,86.50543789,90.7167389,93.31302641,100.0,100.0,100.0,444.5417211756794,395.4187734190208,2
