SMILES,zbtb11_3nM,zbtb11_10nM,zbtb11_30nM,zbtb11_100nM,zbtb11_300nM,zbtb11_1uM,zbtb11_3uM,zbtb11_10uM,zbtb11_30uM,zbtb11_100uM,ikzf1_3nM,ikzf1_10nM,ikzf1_30nM,ikzf1_100nM,ikzf1_300nM,ikzf1_1uM,ikzf1_3uM,ikzf1_10uM,ikzf1_30uM,ikzf1_100uM,Pred_zbtb11_3nM,Pred_zbtb11_10nM,Pred_zbtb11_30nM,Pred_zbtb11_100nM,Pred_zbtb11_300nM,Pred_zbtb11_1uM,Pred_zbtb11_3uM,Pred_zbtb11_10uM,Pred_zbtb11_30uM,Pred_zbtb11_100uM,Pred_ikzf1_3nM,Pred_ikzf1_10nM,Pred_ikzf1_30nM,Pred_ikzf1_100nM,Pred_ikzf1_300nM,Pred_ikzf1_1uM,Pred_ikzf1_3uM,Pred_ikzf1_10uM,Pred_ikzf1_30uM,Pred_ikzf1_100uM,Pred_ZBTB11_AUC,Pred_IKZF1_AUC,True_ZBTB11_AUC,True_IKZF1_AUC,Pred_ZBTB11_Selectivity,True_ZBTB11_Selectivity
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.01665989,97.07457683,74.81192248,57.02633085,48.14375664,41.87791316,42.00057241,42.55253905,41.7348107,37.94259547,38.16747077,99.70535,99.90679,99.71612,99.22954,98.68515,98.62951,97.554436,94.84529,95.95903,91.862595,97.83637,97.71928,97.91499,97.249245,96.5383,92.77066,91.088196,86.31953,82.22934,75.46534,442.3463358067344,416.22265527649057,450.72359384338256,228.40281645911585,-26.123680530243803,-222.3207773842667
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,98.32570389,96.00551828,98.70195021,100.0,98.63924249,100.0,94.62594845,88.16705336,64.71436634,31.85552141,100.0,100.0,100.0,100.0,98.16056911,92.77947154,96.56504065,86.2754065,70.42682927,33.53150407,99.299995,99.194756,98.840004,98.55901,97.50381,96.728546,95.394875,89.759964,84.81954,76.66408,97.66421,97.119415,95.311554,92.17816,89.73567,84.8472,82.37423,77.71071,73.61622,67.42596,426.40418855006544,389.60765157311505,404.46153743696044,407.01405118675893,-36.79653697695039,2.552513749798493
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,100.0,100.0,100.0,100.0,100.0,97.76133442,96.88342635,74.81030915,36.24506177,97.74898374,99.10060976,100.0,100.0,98.85670732,95.16260163,94.79674797,89.3445122,82.61686992,60.68089431,99.29666,99.18444,98.81808,98.5173,97.44866,96.662224,95.31996,89.67973,84.71549,76.560974,97.59813,96.882935,94.35936,90.36596,87.38105,82.10376,79.38927,74.769905,70.73526,64.721085,426.1490606432217,380.43037733736725,420.3473584344698,421.3588323248504,-45.71868330585443,1.0114738903806142
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,100.0,100.0,100.0,100.0,99.4514425,95.48963836,94.01665989,91.07070297,90.30881755,96.91182446,79.12543953,60.30746586,38.42301088,26.31040968,25.87088069,23.66301415,24.42963448,21.18938589,23.57101971,20.93384578,99.42684,99.39124,99.021225,98.53398,97.61,97.02076,95.79023,91.30652,88.601006,81.91747,97.504875,96.375946,92.11371,86.05776,81.71629,75.51256,72.33288,67.706406,63.864418,58.340225,431.0480291639999,358.5840303467103,436.6491344872534,148.04184744827003,-72.46399881728962,-288.6072870389834
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,100.0,100.0,100.0,99.7625659,100.0,100.0,99.03819067,88.73596523,93.00173045,84.3494708,96.34119006,95.11698881,97.96196355,87.6510854,76.73672776,55.14940428,44.77817818,36.88121799,33.21723537,29.98430953,99.40811,99.35064,98.962326,98.456696,97.50167,96.873505,95.62788,91.04444,88.11745,81.28378,97.53351,96.366684,91.80271,85.35229,80.720634,74.30953,71.04816,66.37329,62.550926,57.12257,430.20727995170085,354.6953042225641,438.4654361174991,296.7728600312655,-75.51197572913674,-141.6925760862336
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,100.0,97.44779582,100.0,98.63924249,96.88342635,100.0,90.29911582,85.47062143,54.61842353,35.49256914,94.54268293,94.67479675,89.20223577,77.01727642,68.94308943,66.8597561,64.81707317,61.54471545,58.31300813,55.54878049,99.29042,99.17759,98.80552,98.51293,97.42066,96.61517,95.251076,89.4977,84.31149,76.08348,97.54517,95.22459,85.965576,74.67394,66.86277,58.751965,54.63509,51.103634,48.116737,44.62632,425.6457166644705,304.8363748405094,397.1024049933663,329.9257936451696,-120.80934182396112,-67.17661134819667
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,99.642566,100.0,97.76133442,96.69530319,99.51715056,98.57653477,91.92951652,90.61265442,72.86636985,39.44315545,93.81605691,88.55182927,84.79166667,77.08841463,68.62804878,60.18292683,58.52642276,57.23577236,54.11585366,60.39634146,99.23603,99.12563,98.778275,98.62519,97.462776,96.549194,95.09249,88.671005,82.14673,73.163826,97.227325,93.056625,78.609215,62.52535,51.552887,42.55114,37.91001,36.131332,34.38574,33.31583,423.2977533276396,252.4902687323435,410.3419156240933,314.8776601631886,-170.8074845952961,-95.46425546090472
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,96.18093283,100.0,100.0,93.08221659,96.34190511,100.0,97.26749567,91.02982011,89.58106966,84.91287376,99.28099729,99.05684777,100.0,93.4186251,96.09117713,81.48697346,65.624084,39.03650189,17.98368881,12.57823681,99.11746,98.86566,98.3279,97.897224,96.43325,95.19932,93.494576,86.49132,78.432335,68.58983,88.53796,73.968346,54.529236,38.458763,30.079273,25.219055,22.963207,23.541977,23.813667,24.771421,416.41608200642065,175.91029807868264,430.9963047539096,325.5933570671138,-240.505783927738,-105.40294768679581
