Molecule,SMILES
JWJ-01-296,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3
JWJ-01-297,O=C(N(C1=O)C2CCC(NC2=O)=O)C(C)=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3
JWJ-01-300,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CC)NCCC4=CC(C(F)(F)F)=C(Cl)C=C4)=CC=C3
JWJ-01-301,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=CC=C4)CC)=CC=C3
JWJ-01-303,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=C(Cl)C(C(F)(F)F)=C4)CC)=CC=C3
JWJ-01-304,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)CNCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3
JWJ-01-306,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=CC=C3
JWJ-01-308,ClC1=C(C(F)(F)F)C=C(CN(CCC2)C2C3=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=CC=C3)C=C1
JWJ-01-310,ClC1=C(C(F)(F)F)C=C(CN2CCCC(C3=CC=C(C=C3)NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)C2)C=C1
JWJ-01-318,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O
JWJ-01-322,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O
JWJ-01-323,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O
JWJ-01-324,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O
JWJ-01-334,O=C(N(C1=O)C2CCC(N(C)C2=O)=O)C=C1NC3=CC=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=C3
JWJ-01-368,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=CC=C5)=CC=C3
JWJ-01-370,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC(C=C3)=CC=C3C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5
JWJ-01-371,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC=C(Cl)C=C5)=CC=C3
JWJ-01-458,CSC1=CC=C(C2(CCCC2)NC(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)C=C1
JWJ-01-472,O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(NC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31
JWJ-01-522,O=C(C(CC1)N2C(C(NC3=CC(C4(CCC4)N(C)CCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3)=CC2=O)=O)NC1=O
JWJ-01-533,O=C1CCC(N2C(C(C=CC(C(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
JWJ-01-534,O=C1CCC(N2C(C(C=CC(NC(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
JWJ-01-535,O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
JWJ-01-538,O=C1CCC(N2C(C(C=CC(NC(N(C)CC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
JWJ-01-539,O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(N(C)CC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31
JWJ-01-540,O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
JWJ-01-541,O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O
