Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.298,1.088,-0.019,0.052
zbtb11_10nM,8,1.953,1.865,-0.783,0.516
zbtb11_30nM,8,3.196,3.115,-14.923,0.503
zbtb11_100nM,8,5.252,4.927,-4.105,0.109
zbtb11_300nM,8,7.091,6.952,-25.863,0.243
zbtb11_1uM,8,8.691,8.386,-32.631,-0.273
zbtb11_3uM,8,7.464,6.988,-4.328,0.596
zbtb11_10uM,8,7.197,5.993,-1.631,0.476
zbtb11_30uM,8,10.823,8.643,0.456,0.89
zbtb11_100uM,8,26.445,22.559,0.075,0.953
ikzf1_3nM,8,6.123,4.33,0.033,0.325
ikzf1_10nM,8,13.235,10.548,0.012,0.673
ikzf1_30nM,8,22.338,18.845,-0.052,-0.678
ikzf1_100nM,8,26.211,21.533,-0.136,-0.687
ikzf1_300nM,8,26.971,21.558,-0.149,-0.673
ikzf1_1uM,8,25.868,21.558,-0.241,-0.734
ikzf1_3uM,8,26.007,20.933,-0.233,-0.781
ikzf1_10uM,8,25.654,22.474,-0.284,-0.799
ikzf1_30uM,8,25.858,22.186,-0.462,-0.771
ikzf1_100uM,8,24.224,20.952,-1.008,-0.607
