Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
ZBTB11_pDC50,7,1.448,1.269,-1.962,0.02
ZBTB11_Dmax,10,22.5,17.383,-0.583,-0.345
IKZF1_pDC50,8,1.193,1.158,-0.12,-0.154
IKZF1_Dmax,10,30.946,28.188,-0.346,-0.519
