Endpoint,N_Valid,RMSE,MAE,R²,Pearson_r
ZBTB11_pDC50,7,1.106,0.996,-0.727,0.772
ZBTB11_Dmax,10,16.132,14.084,0.186,0.518
IKZF1_pDC50,8,0.944,0.853,0.299,0.626
IKZF1_Dmax,10,27.692,21.261,-0.078,0.319
