Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
ZBTB11_pDC50,21,1.286,1.081,-0.198,-0.141
ZBTB11_Dmax,35,32.969,30.071,-2.926,-0.174
IKZF1_pDC50,30,1.293,1.177,-0.03,0.129
IKZF1_Dmax,35,32.732,27.206,-0.52,-0.373
